Center,Family,Orient,SV_1,SV_2,SV_3,SV_4,SV_5,SV_6,T,C,nu,k
L4,SPO,None,0.624765322613748,0.907622592362383,0,0.13904530771386,-0.161176594282897,0,6.5725984434001,2.97548899277205,1,1.91468868823157
L4,SPO,None,0.616142402273656,0.910404397339053,0,0.138647109644121,-0.153621294024045,0,6.57335650968283,2.97644434908829,1,1.91440930282786
L4,SPO,None,0.604028025210681,0.911927680768832,0,0.134721262854259,-0.141543994160146,0,6.57457619681663,2.97797114283381,1,1.91395896689744
L4,SPO,None,0.591443953665364,0.913121834585548,0,0.130011864201046,-0.129015971769159,0,6.57575175715024,2.97943329604571,1,1.91352424783769
L4,SPO,None,0.578343290578952,0.913750176396577,0,0.124138376099502,-0.115857602830758,0,6.57689476510387,2.98084694882069,1,1.91310102192243
L4,SPO,None,0.565409205812447,0.913484636298245,0,0.116957499624284,-0.102568412364493,0,6.57796222036264,2.9821602101689,1,1.91270530870624
L4,SPO,None,0.554886419797867,0.912278390098029,0,0.10958087866817,-0.0913124842671006,0,6.5788039646178,2.98319368245277,1,1.91239329863936
L4,SPO,None,0.547599842619559,0.910686594749951,0,0.103300685515676,-0.0831309415727758,0,6.57938537331999,2.98390379494286,1,1.9121774707849
L4,SPO,None,0.542738204625531,0.909059812077549,0,0.0982411010814209,-0.077350334742444,0,6.57978552134559,2.98438841905952,1,1.91202845642778
L4,SPO,None,0.539094299226347,0.907509641356058,0,0.0939348970716973,-0.0728281844745171,0,6.58008948924166,2.9847559142431,1,1.91191520829349
