x,y,z,vx,vy,vz
  6.01084205320093E+05,  1.40298458464980E+06,  2.42922334589964E+05,  4.73847003297503E-01,  1.33794066302132E+00,  2.10120660918370E-01
  6.02272384918254E+05,  1.40327793422453E+06,  2.43439530954081E+05,  4.75236239122378E-01,  1.33848272731198E+00,  2.10692904681301E-01
  6.02882390660858E+05,  1.40442331979023E+06,  2.43793591125803E+05,  4.76070923957102E-01,  1.34002341399541E+00,  2.11122365231259E-01
  6.01119761300109E+05,  1.40397085043312E+06,  2.44047271358825E+05,  4.74036787071582E-01,  1.33924544425400E+00,  2.11319439377114E-01
  6.03001556773664E+05,  1.40507816674700E+06,  2.43550974515583E+05,  4.76279549734159E-01,  1.34085868071338E+00,  2.10905359085546E-01
  6.02702735034540E+05,  1.40356464899101E+06,  2.44081580907871E+05,  4.75771065825821E-01,  1.33892750706721E+00,  2.11374695577733E-01
  6.03236992738527E+05,  1.40417802630367E+06,  2.43181423757836E+05,  4.76425663887661E-01,  1.33972792440782E+00,  2.10490860644887E-01
  6.03218683862277E+05,  1.40424388249717E+06,  2.43267931794775E+05,  4.76416409052158E-01,  1.33981544205367E+00,  2.10580728589031E-01
  6.03015776264844E+05,  1.40367130611044E+06,  2.43077030772660E+05,  4.76111405006917E-01,  1.33905791923920E+00,  2.10353315367938E-01
  6.00481820669037E+05,  1.40371889697304E+06,  2.41876438248133E+05,  4.73238800487285E-01,  1.33874771684783E+00,  2.09067762826562E-01
  6.01637118088717E+05,  1.40535496574992E+06,  2.42797921680856E+05,  4.74759453396965E-01,  1.34100453385946E+00,  2.10112694042839E-01
  6.01197402501316E+05,  1.40301645092967E+06,  2.43610613183623E+05,  4.73995294323389E-01,  1.33802667627817E+00,  2.10833997610677E-01
  6.00553663849194E+05,  1.40420222101088E+06,  2.43299213264769E+05,  4.73409971845437E-01,  1.33943526848925E+00,  2.10552560496617E-01
  6.00143100489472E+05,  1.40247638897894E+06,  2.43676714333884E+05,  4.72744407213075E-01,  1.33721681761408E+00,  2.10847364838146E-01
  6.02111288962709E+05,  1.40328549538393E+06,  2.43425729758471E+05,  4.75052689971053E-01,  1.33847357927736E+00,  2.10674349738490E-01
  6.02179111516108E+05,  1.40333118203192E+06,  2.42506209348622E+05,  4.75113342902257E-01,  1.33849614372161E+00,  2.09734479303516E-01
  6.01561350014359E+05,  1.40450133717876E+06,  2.42857393825235E+05,  4.74570903717049E-01,  1.33991703403893E+00,  2.10136338012708E-01
  6.02050975093332E+05,  1.40291742871563E+06,  2.42020969747996E+05,  4.74908932014955E-01,  1.33793442321783E+00,  2.09211053047027E-01
  6.02097984001220E+05,  1.40408084088491E+06,  2.43767247761299E+05,  4.75146740687441E-01,  1.33949052721980E+00,  2.11062369076876E-01
  6.03585102365466E+05,  1.40453456687117E+06,  2.43203198291233E+05,  4.76862105042029E-01,  1.34022432984301E+00,  2.10538589714908E-01
  6.03038790081640E+05,  1.40404466976717E+06,  2.44103657710506E+05,  4.76207845386557E-01,  1.33957801600563E+00,  2.11426446498561E-01
  6.01352450733123E+05,  1.40350652624745E+06,  2.42600628165492E+05,  4.74208090340133E-01,  1.33862198727415E+00,  2.09819877878814E-01
  6.02406641714496E+05,  1.40573418554423E+06,  2.44603598160400E+05,  4.75713916009018E-01,  1.34166093674914E+00,  2.12003012830970E-01
  6.02072081411214E+05,  1.40477490629045E+06,  2.43374821320942E+05,  4.75192286531924E-01,  1.34035081645739E+00,  2.10689874063534E-01
  6.03703374019319E+05,  1.40459526717053E+06,  2.43495002290027E+05,  4.77010599197361E-01,  1.34032864225091E+00,  2.10843415075512E-01
  5.99958628137940E+05,  1.40224227749088E+06,  2.44065184625950E+05,  4.72517705955310E-01,  1.33691433508560E+00,  2.11233385565305E-01
  6.01464064080020E+05,  1.40515742521016E+06,  2.43671914236319E+05,  4.74560510732012E-01,  1.34077299426016E+00,  2.11000270141526E-01
  6.01264563457859E+05,  1.40335096337502E+06,  2.42583150066487E+05,  4.74087421797419E-01,  1.33841223172070E+00,  2.09792211654230E-01
  6.02359767770035E+05,  1.40470213080913E+06,  2.43730878471426E+05,  4.75515927984807E-01,  1.34030977121868E+00,  2.11057004235168E-01
  6.01868677736145E+05,  1.40289323683552E+06,  2.42717821638430E+05,  4.74716344434331E-01,  1.33791368963373E+00,  2.09924128895975E-01
  6.01451112555165E+05,  1.40419574852281E+06,  2.43917398327328E+05,  4.74435732111707E-01,  1.33956497475436E+00,  2.11206463448438E-01
  6.01364702781570E+05,  1.40415221334020E+06,  2.43519314972081E+05,  4.74322698700855E-01,  1.33948162519535E+00,  2.10792234014913E-01
  5.99838879665106E+05,  1.40203762853619E+06,  2.42912382178702E+05,  4.72330019422444E-01,  1.33658790453923E+00,  2.10035569651633E-01
  6.01902917220656E+05,  1.40335536209852E+06,  2.43015454592314E+05,  4.74816666208985E-01,  1.33851721857554E+00,  2.10251264213577E-01
  6.01644650909519E+05,  1.40253347008470E+06,  2.43376318979453E+05,  4.74434511391708E-01,  1.33745929984142E+00,  2.10582777042191E-01
  6.01346584698222E+05,  1.40440970686632E+06,  2.42291756074819E+05,  4.74303824154192E-01,  1.33974939961692E+00,  2.09545803127619E-01
  6.00594067023628E+05,  1.40261898345012E+06,  2.43616478070192E+05,  4.73267440321554E-01,  1.33744898497788E+00,  2.10805123283147E-01
  6.01890862956541E+05,  1.40266719409726E+06,  2.42712127511280E+05,  4.74713936775356E-01,  1.33762943333421E+00,  2.09908649905273E-01
  6.00402416745583E+05,  1.40238285637302E+06,  2.43753622044010E+05,  4.73027616510576E-01,  1.33713362679539E+00,  2.10930665576733E-01
  6.01714071820014E+05,  1.40353093091183E+06,  2.43185104393338E+05,  4.74632634357187E-01,  1.33872204662212E+00,  2.10429418857000E-01
  5.99923184732558E+05,  1.40214894821715E+06,  2.41964845649170E+05,  4.72417222426639E-01,  1.33669623197786E+00,  2.09073431642726E-01
  6.01054554996669E+05,  1.40319326077471E+06,  2.43083986375977E+05,  4.73845087174014E-01,  1.33820858202341E+00,  2.10296515871463E-01
  6.03776186825612E+05,  1.40563140203002E+06,  2.43840087157258E+05,  4.77226197560251E-01,  1.34166537897808E+00,  2.11248789418135E-01
  6.02894238184049E+05,  1.40452000065874E+06,  2.44199482541604E+05,  4.76105002656671E-01,  1.34016718257175E+00,  2.11541615463621E-01
  6.02024188265456E+05,  1.40292848921350E+06,  2.42962592597470E+05,  4.74901113832977E-01,  1.33798833723013E+00,  2.10180994440924E-01
  6.01968915754750E+05,  1.40339242525252E+06,  2.42340571588740E+05,  4.74880230319484E-01,  1.33854138319408E+00,  2.09563847757822E-01
  6.01105423928304E+05,  1.40287568104192E+06,  2.43613034556448E+05,  4.73875558924669E-01,  1.33783622634468E+00,  2.10826653775354E-01
  6.01718479375975E+05,  1.40291733523361E+06,  2.43510119636094E+05,  4.74567429178048E-01,  1.33796157354027E+00,  2.10735198854725E-01
  6.00114916170450E+05,  1.40118793103088E+06,  2.41478302104129E+05,  4.72499556237543E-01,  1.33548231444756E+00,  2.08534113699320E-01
  6.02806329147126E+05,  1.40375016730890E+06,  2.43913073802603E+05,  4.75905669525801E-01,  1.33916744168762E+00,  2.11213562195669E-01
  6.01044084908553E+05,  1.40335626047161E+06,  2.43809303860150E+05,  4.73867810004213E-01,  1.33844911700272E+00,  2.11042701608718E-01
  6.03956608940116E+05,  1.40613902893062E+06,  2.44148188823007E+05,  4.77501036870777E-01,  1.34234241001399E+00,  2.11590134785001E-01
  6.01366926869307E+05,  1.40182664838957E+06,  2.43622911449640E+05,  4.74038078590326E-01,  1.33654543249902E+00,  2.10794349737605E-01
  6.02178969521034E+05,  1.40395959000174E+06,  2.43179653841047E+05,  4.75207074942475E-01,  1.33932084944128E+00,  2.10454418851444E-01
  6.01680459436244E+05,  1.40181776738747E+06,  2.42891535707300E+05,  4.74375846766118E-01,  1.33653609951843E+00,  2.10051569944289E-01
  6.01708776744140E+05,  1.40196786136485E+06,  2.42980866371536E+05,  4.74425899590411E-01,  1.33673480462143E+00,  2.10150084734707E-01
  6.01886216020880E+05,  1.40478286274867E+06,  2.43665881885282E+05,  4.74989652091054E-01,  1.34034811764586E+00,  2.10987880332217E-01
  6.02444139146610E+05,  1.40352419696854E+06,  2.43796974014756E+05,  4.75465103962980E-01,  1.33883363399419E+00,  2.11076335697786E-01
  6.02083622277118E+05,  1.40299210416590E+06,  2.43599989280757E+05,  4.74989950516788E-01,  1.33810494792178E+00,  2.10839325649306E-01
  6.01650014604625E+05,  1.40376665665454E+06,  2.42915612890423E+05,  4.74581073717152E-01,  1.33900066500794E+00,  2.10159733952387E-01
  6.00432821648602E+05,  1.40275355017336E+06,  2.43224215866481E+05,  4.73095089009287E-01,  1.33758139905584E+00,  2.10407126950271E-01
  6.01959649695596E+05,  1.40438653476145E+06,  2.43285050545665E+05,  4.75015858021225E-01,  1.33984102458681E+00,  2.10578010303415E-01
  6.01123378380610E+05,  1.40401223710208E+06,  2.43503985778962E+05,  4.74034633146470E-01,  1.33927230893817E+00,  2.10764876037432E-01
  6.02816982382154E+05,  1.40501780209291E+06,  2.42824540858531E+05,  4.76050541905511E-01,  1.34072103786325E+00,  2.10155467167399E-01
  6.00808818398342E+05,  1.40330178499569E+06,  2.43740086022544E+05,  4.73598033911174E-01,  1.33834462051260E+00,  2.10968190345030E-01
  6.02146839332862E+05,  1.40425467691065E+06,  2.43706320429803E+05,  4.75220328511459E-01,  1.33971528391320E+00,  2.11006902178136E-01
  6.00943576556794E+05,  1.40458639480465E+06,  2.43269719767129E+05,  4.73898176223731E-01,  1.33996720179539E+00,  2.10548228357490E-01
  6.02291098205391E+05,  1.40368508651241E+06,  2.43580431188678E+05,  4.75309643126244E-01,  1.33900785093658E+00,  2.10856328485868E-01
  6.01239496472348E+05,  1.40334658339427E+06,  2.43563774326910E+05,  4.74082644120053E-01,  1.33844847768587E+00,  2.10799513059063E-01
  6.03363565748805E+05,  1.40430633035771E+06,  2.43757907683499E+05,  4.76597161218479E-01,  1.33993527343917E+00,  2.11090632056312E-01
  6.02510772028263E+05,  1.40546639554609E+06,  2.44090280726766E+05,  4.75788918516081E-01,  1.34131071530969E+00,  2.11464781135575E-01
  6.01273688920951E+05,  1.40358100234196E+06,  2.42797023900322E+05,  4.74133280207419E-01,  1.33871169306085E+00,  2.10023665806090E-01
  6.03070425009527E+05,  1.40467612316776E+06,  2.43292612984101E+05,  4.76302118382683E-01,  1.34034404148587E+00,  2.10623682668725E-01
  5.99387665082467E+05,  1.40195173274433E+06,  2.42818090558044E+05,  4.71808361069324E-01,  1.33641840576399E+00,  2.09928384158485E-01
  6.01430845204746E+05,  1.40293081519323E+06,  2.44541914436913E+05,  4.74270998490946E-01,  1.33799104413282E+00,  2.11790846249339E-01
  6.02292161836349E+05,  1.40545513469582E+06,  2.43630658398147E+05,  4.75530432814042E-01,  1.34124847979719E+00,  2.10990490427318E-01
  6.02613083452558E+05,  1.40299288304043E+06,  2.43227624569874E+05,  4.75575858002912E-01,  1.33815527840709E+00,  2.10470331626535E-01
  6.00543149472367E+05,  1.40084122245003E+06,  2.43413220144546E+05,  4.72984501990219E-01,  1.33518533708788E+00,  2.10514510448856E-01
  5.99798096311451E+05,  1.40288521518874E+06,  2.43640576871651E+05,  4.72403439851091E-01,  1.33769055298462E+00,  2.10822846889859E-01
  6.02704332105119E+05,  1.40493865249892E+06,  2.43887650962698E+05,  4.75936229458794E-01,  1.34065624902772E+00,  2.11239108897445E-01
